"","x"
"1332923",269
"1082075",269
"860260",269
"819965",269
"393434",269
"767767",269
"639812",269
"947869",269
"656427",269
"718451",269
"645410",268
"74598",268
"705932",268
"430249",268
"93107",268
"158855",268
"1120179",268
"837004",268
"806222",268
"669877",268
"745555",268
"1295814",268
"828024",267
"1435354",267
"405745",267
"892801",267
"788307",267
"676224",267
"713198",267
"72413",267
"360455",267
"125991",267
"156588",267
"335162",267
"230052",267
"1369529",267
"1259743",267
"680390",267
"1271161",267
"624489",266
"686355",266
"179751",266
"249419",266
"628740",266
"224918",266
"340617",266
"1115623",266
"729564",266
"611189",266
"558559",266
"839552",266
"1409617",266
"955621",266
"1205073",265
"690683",265
"551670",265
"471580",265
"218828",265
"213831",265
"336209",265
"636445",265
"658835",265
"441687",265
"1555903",265
"650090",265
"1549946",265
"613139",265
"640632",264
"1487468",264
"1312182",264
"1557689",264
"567462",264
"527466",264
"1256579",264
"648552",264
"449516",264
"929966",264
"444685",264
"592472",264
"1052203",264
"166602",263
"667466",263
"1382666",263
"615388",263
"517738",263
"318307",263
"319626",263
"1210501",263
"416210",263
"1410244",263
"909818",263
"527621",263
"963013",263
"1456730",263
"1249069",263
"671675",263
"1054400",263
"546522",263
"1428630",263
"738232",262
"833631",262
"197426",262
"196590",262
"650461",262
"208792",262
"831876",262
"260717",262
"577146",262
"745598",262
"707772",261
"1137383",261
"961363",261
"1271122",261
"926303",261
"1001280",261
"1336229",261
"1001758",261
"907992",261
"1176614",261
"123723",261
"385111",261
"685677",261
"972749",261
"1149120",261
"686966",261
"250374",260
"505396",260
"735773",260
"686119",260
"717450",260
"155498",260
"1452448",260
"290827",260
"585560",260
"1080624",260
"1278681",260
"1168399",260
"819379",260
"1417100",259
"493766",259
"531171",259
"3049",259
"663359",259
"1252385",259
"705287",259
"866792",259
"870083",258
"1009718",258
"1255011",258
"482172",258
"1167842",258
"317983",258
"117628",258
"780410",258
"655296",258
"524109",258
"605090",258
"271754",258
"513756",258
"705639",258
"980033",258
"1416285",258
"1178515",258
"1434843",258
"573859",257
"638606",257
"344781",257
"108024",257
"1223085",257
"90643",257
"858922",257
"724055",257
"384085",257
"165017",257
"1392564",257
"625765",257
"660756",257
"176737",257
"1396796",257
"961273",257
"1073087",257
"1087185",257
"700359",257
"1226379",257
"1995078",257
"632207",256
"210817",256
"257416",256
"1295127",256
"141596",256
"637036",256
"577340",256
"443897",256
"340068",256
"243855",256
"632049",256
"477617",256
"2224117",256
"603234",256
"1140849",256
"1168059",256
"1112451",255
"342542",255
"1087315",255
"201369",255
"254932",255
"956999",255
"437778",255
"1164333",255
"991764",255
"933601",255
"218766",254
"560733",254
"1253910",254
"815737",254
"234632",254
"488078",254
"1131455",254
"157313",254
"478121",254
"319195",254
"709777",254
"786388",254
"683273",254
"1402957",254
"1160018",254
"918356",253
"1076260",253
"513711",253
"361078",253
"855584",253
"1233074",253
"507813",253
"94346",253
"319699",253
"531034",253
"1136274",253
"899529",253
"325373",253
"1549651",253
"1376369",253
"1059476",253
"189568",252
"1271022",252
"677352",252
"1282603",252
"807406",252
"466129",252
"365102",252
"109880",252
"87557",252
"834974",252
"511921",252
"1281452",252
"525081",252
"1573918",252
"587153",252
"339504",252
"743221",252
"1609731",252
"720026",252
"3452",251
"435965",251
"230412",251
"1093322",251
"1082583",251
"1350015",251
"580040",251
"1561377",251
"998875",251
